DBN,Name,Borough,District,attd
01M015,P.S. 015 Roberto Clemente,Manhattan,1,92.6%
01M019,P.S. 019 Asher Levy,Manhattan,1,91.2%
01M020,P.S. 020 Anna Silver,Manhattan,1,92.1%
01M034,P.S. 034 Franklin D. Roosevelt,Manhattan,1,88.5%
01M063,The STAR Academy - P.S.63,Manhattan,1,90.9%
01M064,P.S. 064 Robert Simon,Manhattan,1,88.7%
01M110,P.S. 110 Florence Nightingale,Manhattan,1,93.9%
01M134,P.S. 134 Henrietta Szold,Manhattan,1,89.3%
01M140,P.S. 140 Nathan Straus,Manhattan,1,88.5%
01M142,P.S. 142 Amalia Castro,Manhattan,1,90.7%
01M184,P.S. 184m Shuang Wen,Manhattan,1,97.6%
01M188,P.S. 188 The Island School,Manhattan,1,87.8%
01M292,Orchard Collegiate Academy,Manhattan,1,91.8%
01M315,The East Village Community School,Manhattan,1,94.7%
01M332,University Neighborhood Middle School,Manhattan,1,91.7%
01M361,The Children's Workshop School,Manhattan,1,91.8%
01M363,Neighborhood School,Manhattan,1,93.4%
01M364,Earth School,Manhattan,1,93.1%
01M378,School for Global Leaders,Manhattan,1,89.2%
01M448,University Neighborhood High School,Manhattan,1,91.2%
01M450,East Side Community School,Manhattan,1,94.7%
01M458,Forsyth Satellite Academy,Manhattan,1,54.0%
01M509,Marta Valle High School,Manhattan,1,79.7%
01M515,Lower East Side Preparatory High School,Manhattan,1,74.4%
01M539,"New Explorations into Science, Technology and Math",Manhattan,1,96.1%
01M650,Cascades High School,Manhattan,1,58.0%
01M696,Bard High School Early College,Manhattan,1,95.0%
01M839,Tompkins Square Middle School,Manhattan,1,95.1%
02M001,P.S. 001 Alfred E. Smith,Manhattan,2,94.3%
02M002,P.S. 002 Meyer London,Manhattan,2,96.3%
02M003,P.S. 003 Charrette School,Manhattan,2,93.6%
02M006,P.S. 006 Lillie D. Blake,Manhattan,2,95.6%
02M011,P.S. 011 William T. Harris,Manhattan,2,94.9%
02M033,P.S. 033 Chelsea Prep,Manhattan,2,92.9%
02M040,P.S. 040 Augustus Saint-Gaudens,Manhattan,2,95.7%
02M041,P.S. 041 Greenwich Village,Manhattan,2,95.8%
02M042,P.S. 042 Benjamin Altman,Manhattan,2,97.1%
02M047,47 The American Sign Language and English Secondar,Manhattan,2,90.1%
02M051,P.S. 051 Elias Howe,Manhattan,2,91.6%
02M059,P.S. 059 Beekman Hill International,Manhattan,2,95.7%
02M077,P.S. 77 Lower Lab School,Manhattan,2,96.8%
02M089,P.S. 89,Manhattan,2,96.1%
02M104,J.H.S. 104 Simon Baruch,Manhattan,2,96.5%
02M111,P.S. 111 Adolph S. Ochs,Manhattan,2,91.5%
02M114,East Side Middle School,Manhattan,2,97.4%
02M116,P.S. 116 Mary Lindley Murray,Manhattan,2,94.3%
02M124,P.S. 124 Yung Wing,Manhattan,2,97.9%
02M126,P.S. 126 Jacob August Riis,Manhattan,2,96.8%
02M130,P.S. 130 Hernando De Soto,Manhattan,2,98.0%
02M131,M.S. 131,Manhattan,2,97.3%
02M135,The Urban Assembly School for Emergency Management,Manhattan,2,86.2%
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,Manhattan,2,84.9%
02M150,P.S. 150,Manhattan,2,96.2%
02M151,Yorkville Community School,Manhattan,2,93.2%
02M158,P.S. 158 Bayard Taylor,Manhattan,2,95.3%
02M167,J.H.S. 167 Robert F. Wagner,Manhattan,2,95.9%
02M177,Yorkville East Middle School,Manhattan,2,95.0%
02M183,P.S. 183 Robert L. Stevenson,Manhattan,2,96.0%
02M198,P.S. 198 Isador E. Ida Straus,Manhattan,2,94.4%
02M212,P.S. 212 Midtown West,Manhattan,2,94.8%
