song_artist,Song,Artist,break_start,break_end,return_decade,Rank,total_weeks,cons_weeks,break_duration_days,break_duration_weeks,break_duration_months,break_duration_years,multi_break,row,col,break_group
-twistin'-White Silver Sands | Bill Black's Combo,-twistin'-White Silver Sands,Bill Black's Combo,1962-05-02,1962-05-16,60s,92,1,1,14,2,0.0,0.0,No,40,1,Less than 1 year
(1-2-3-4-5-6-7) Count The Days | Inez & Charlie Foxx,(1-2-3-4-5-6-7) Count The Days,Inez & Charlie Foxx,1968-01-31,1968-03-06,60s,86,4,4,35,5,1.0,0.0,No,40,2,Less than 1 year
(Baby) Hully Gully | The Olympics,(Baby) Hully Gully,The Olympics,1960-03-02,1960-03-23,60s,98,6,6,21,3,0.0,0.0,No,40,3,Less than 1 year
(Do The) Mashed Potatoes (Part 1) | Nat Kendrick And The Swans,(Do The) Mashed Potatoes (Part 1),Nat Kendrick And The Swans,1960-02-10,1960-02-24,60s,84,1,1,14,2,0.0,0.0,No,40,4,Less than 1 year
(I Wanna) Dance With The Teacher | The Olympics,(I Wanna) Dance With The Teacher,The Olympics,1958-12-03,1958-12-17,50s,98,1,1,14,2,0.0,0.0,Yes,40,5,Less than 1 year
(I Wanna) Dance With The Teacher | The Olympics,(I Wanna) Dance With The Teacher,The Olympics,1958-12-17,1958-12-31,50s,100,2,1,14,2,0.0,0.0,Yes,40,6,Less than 1 year
(If You're Not In It For Love) I'm Outta Here!/The Woman In Me | Shania Twain,(If You're Not In It For Love) I'm Outta Here!/The Woman In Me,Shania Twain,1995-11-29,1995-12-13,90s,99,6,6,14,2,0.0,0.0,No,40,7,Less than 1 year
(If You're Wondering If I Want You To) I Want You To | Weezer,(If You're Wondering If I Want You To) I Want You To,Weezer,2009-09-09,2009-11-18,00s,82,1,1,70,10,2.0,0.0,Yes,40,8,Less than 1 year
(If You're Wondering If I Want You To) I Want You To | Weezer,(If You're Wondering If I Want You To) I Want You To,Weezer,2009-12-30,2010-01-13,10s,95,8,7,14,2,0.0,0.0,Yes,40,9,Less than 1 year
(It's Just) The Way That You Love Me | Paula Abdul,(It's Just) The Way That You Love Me,Paula Abdul,1988-12-07,1989-09-20,80s,95,5,5,287,41,9.0,0.0,No,40,10,Less than 1 year
(There's No Place Like) Home For The Holidays (1959) | Perry Como With Mitchell Ayers And His Orchestra,(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,2019-01-02,2020-01-01,20s,32,2,2,364,52,11.0,0.0,Yes,40,11,Less than 1 year
(There's No Place Like) Home For The Holidays (1959) | Perry Como With Mitchell Ayers And His Orchestra,(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,2020-01-01,2020-12-09,20s,37,3,1,343,49,11.0,0.0,Yes,40,12,Less than 1 year
(There's No Place Like) Home For The Holidays (1959) | Perry Como With Mitchell Ayers And His Orchestra,(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,2020-12-30,2021-12-08,20s,22,7,4,343,49,11.0,0.0,Yes,40,13,Less than 1 year
(There's No Place Like) Home For The Holidays (1959) | Perry Como With Mitchell Ayers And His Orchestra,(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,2022-01-05,2023-01-04,20s,29,12,5,364,52,11.0,0.0,Yes,40,14,Less than 1 year
(There's No Place Like) Home For The Holidays (1959) | Perry Como With Mitchell Ayers And His Orchestra,(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,2023-01-04,2025-12-17,20s,41,13,1,1078,154,35.0,2.0,Yes,40,15,1-5 years
***Flawless | Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,2014-11-05,2014-12-10,10s,83,9,9,35,5,1.0,0.0,No,40,16,Less than 1 year
$ave Dat Money | Lil Dicky Featuring Fetty Wap & Rich Homie Quan,$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,2015-10-07,2015-10-28,10s,71,1,1,21,3,0.0,0.0,Yes,40,17,Less than 1 year
$ave Dat Money | Lil Dicky Featuring Fetty Wap & Rich Homie Quan,$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,2015-11-25,2015-12-23,10s,93,6,5,28,4,0.0,0.0,Yes,40,18,Less than 1 year
1 Night | Lil Yachty,1 Night,Lil Yachty,2016-08-10,2016-08-31,10s,88,1,1,21,3,0.0,0.0,No,40,19,Less than 1 year
