song_artist,Song,Artist,Date,Rank,total_weeks,cons_weeks
Jaded | Miley Cyrus,Jaded,Miley Cyrus,2023-03-22,56,1,1
Jaded | Miley Cyrus,Jaded,Miley Cyrus,2023-03-29,97,2,1
Jaded | Miley Cyrus,Jaded,Miley Cyrus,2023-04-12,,,
Jaded | Miley Cyrus,Jaded,Miley Cyrus,2023-04-19,,,
Jaded | Miley Cyrus,Jaded,Miley Cyrus,2023-04-26,,,
Jaded | Miley Cyrus,Jaded,Miley Cyrus,2023-05-03,,,
Jaded | Miley Cyrus,Jaded,Miley Cyrus,2023-05-10,,,
Jaded | Miley Cyrus,Jaded,Miley Cyrus,2023-05-17,,,
Jaded | Miley Cyrus,Jaded,Miley Cyrus,2023-05-24,,,
Jaded | Miley Cyrus,Jaded,Miley Cyrus,2023-05-31,90,3,1
Jaded | Miley Cyrus,Jaded,Miley Cyrus,2023-06-07,,,
Jaded | Miley Cyrus,Jaded,Miley Cyrus,2023-06-14,98,4,1
Jaded | Miley Cyrus,Jaded,Miley Cyrus,2023-06-21,85,5,2
Jaded | Miley Cyrus,Jaded,Miley Cyrus,2023-06-28,87,6,3
Jaded | Miley Cyrus,Jaded,Miley Cyrus,2023-07-05,96,7,4
Jaded | Miley Cyrus,Jaded,Miley Cyrus,2023-07-12,100,8,5
Jaded | Miley Cyrus,Jaded,Miley Cyrus,2023-07-19,,,
Jaded | Miley Cyrus,Jaded,Miley Cyrus,2023-07-26,88,9,1
Jaded | Miley Cyrus,Jaded,Miley Cyrus,2023-08-02,78,10,2
Jaded | Miley Cyrus,Jaded,Miley Cyrus,2023-08-09,93,11,3
Jaded | Miley Cyrus,Jaded,Miley Cyrus,2023-08-16,73,12,4
Jaded | Miley Cyrus,Jaded,Miley Cyrus,2023-08-23,74,13,5
Jaded | Miley Cyrus,Jaded,Miley Cyrus,2023-08-30,64,14,6
Jaded | Miley Cyrus,Jaded,Miley Cyrus,2023-09-06,89,15,7
