song_artist,song,artist,row,col,first_chart,last_chart,max_position,total_chart
-twistin'-White Silver Sands | Bill Black's Combo,-twistin'-White Silver Sands,Bill Black's Combo,40,1,1962-05-02,1962-05-16,92,2
(1-2-3-4-5-6-7) Count The Days | Inez & Charlie Foxx,(1-2-3-4-5-6-7) Count The Days,Inez & Charlie Foxx,40,2,1968-01-10,1968-03-06,76,5
(Baby) Hully Gully | The Olympics,(Baby) Hully Gully,The Olympics,40,3,1960-01-27,1960-03-23,72,7
(Do The) Mashed Potatoes (Part 1) | Nat Kendrick And The Swans,(Do The) Mashed Potatoes (Part 1),Nat Kendrick And The Swans,40,4,1960-02-10,1960-02-24,84,2
(I Wanna) Dance With The Teacher | The Olympics,(I Wanna) Dance With The Teacher,The Olympics,40,5,1958-12-03,1959-01-14,71,5
(If You're Not In It For Love) I'm Outta Here!/The Woman In Me | Shania Twain,(If You're Not In It For Love) I'm Outta Here!/The Woman In Me,Shania Twain,40,6,1995-10-25,1996-02-07,74,15
(If You're Wondering If I Want You To) I Want You To | Weezer,(If You're Wondering If I Want You To) I Want You To,Weezer,40,7,2009-09-09,2010-01-13,81,9
(It's Just) The Way That You Love Me | Paula Abdul,(It's Just) The Way That You Love Me,Paula Abdul,40,8,1988-11-09,1990-01-31,3,25
(There's No Place Like) Home For The Holidays (1959) | Perry Como With Mitchell Ayers And His Orchestra,(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,40,9,2018-12-26,2025-12-31,22,16
***Flawless | Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,40,10,2014-09-10,2015-02-18,41,20
$ave Dat Money | Lil Dicky Featuring Fetty Wap & Rich Homie Quan,$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,40,11,2015-10-07,2016-03-16,71,19
1 Night | Lil Yachty,1 Night,Lil Yachty,40,12,2016-08-10,2017-01-04,49,20
100 | The Game Featuring Drake,100,The Game Featuring Drake,40,13,2015-08-19,2015-11-11,82,10
12 To 12 | sombr,12 To 12,sombr,40,14,2025-08-13,2026-03-04,41,28
1234 | Feist,1234,Feist,40,15,2007-09-26,2008-01-16,8,15
16 Carriages | Beyonce,16 Carriages,Beyonce,40,16,2024-02-21,2024-04-17,38,6
1901 | Phoenix,1901,Phoenix,40,17,2009-12-16,2010-03-31,84,13
1999 | Prince,1999,Prince,40,18,1982-10-27,2016-05-11,12,30
1st Time | Yung Joc Featuring Marques Houston & Trey Songz,1st Time,Yung Joc Featuring Marques Houston & Trey Songz,40,19,2007-02-21,2007-04-04,82,6
2 Be Loved (Am I Ready) | Lizzo,2 Be Loved (Am I Ready),Lizzo,40,20,2022-07-27,2022-11-16,55,13
2 Hands | Tate McRae,2 Hands,Tate McRae,40,21,2024-11-27,2025-03-05,41,3
20 Cigarettes | Morgan Wallen,20 Cigarettes,Morgan Wallen,40,22,2025-05-28,2026-03-11,15,41
21 | Polo G,21,Polo G,40,23,2020-05-27,2020-09-02,62,8
22 | Taylor Swift,22,Taylor Swift,40,24,2012-11-07,2013-07-24,20,20
"23 | Mike Will Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",23,"""Mike Will Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J""",40,25,2013-09-25,2014-03-05,11,23
